Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_587.jpg,-15,0,1,0.05561164,118.1257,132.0248,0.5756266,164.2593,359.969
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_627.jpg,-15,0,1,0.05498593,118.1257,132.0248,0.4519071,164.2585,359.9634
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_668.jpg,-15,0,1,0.05391546,118.1256,132.0248,0.3303469,164.2579,359.9585
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_709.jpg,-15,0,1,0.05243247,118.1256,132.0248,0.2118905,164.2574,359.9542
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_750.jpg,-15,0,1,0.05056876,118.1255,132.0248,0.09741092,164.257,359.9505
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_791.jpg,-15,0,1,0.0483598,118.1255,132.0248,359.9877,164.2568,359.9475
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_831.jpg,-15,0,1,0.04584084,118.1254,132.0248,359.8835,164.2567,359.9452
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_872.jpg,-15,0,1,0.04304913,118.1254,132.0248,359.7854,164.2567,359.9434
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_913.jpg,-15,0,1,0.04002166,118.1254,132.0248,359.6509,164.2568,359.942
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_953.jpg,-15,0,1,0.03679658,118.1253,132.0248,359.5703,164.2569,359.9417
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_35_995.jpg,-15,0,1,0.03167113,118.1253,132.0248,359.4974,164.2571,359.942
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_036.jpg,-15,0,1,0.02811661,118.1253,132.0249,359.4324,164.2574,359.9428
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_076.jpg,-15,0,1,0.02226547,118.1253,132.0249,359.3813,164.257,359.9508
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_117.jpg,-15,0,1,0.01832458,118.1252,132.0249,359.3394,164.2572,359.9601
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_158.jpg,-15,0,1,0.01433877,118.1252,132.0249,359.3076,164.2573,359.9718
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_198.jpg,-15,0,1,0.01110524,118.1252,132.0249,359.2841,164.2574,359.984
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_239.jpg,-15,0,1,0,118.1252,132.0249,359.2688,164.2576,-0.003501584
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_280.jpg,-15,0,1,0,118.1252,132.0249,359.2619,164.2579,0.00676693
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_320.jpg,-15,0,1,0,118.1252,132.0249,359.2632,164.2581,0.01480195
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_362.jpg,-14.69625,0,1,0,118.1252,132.0249,359.2717,164.2582,0.0213065
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_403.jpg,-12.86006,0,1,0,118.1252,132.0249,359.2865,164.2581,0.02666512
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_443.jpg,-11.04503,0,1,0,118.1252,132.0249,359.3072,164.2581,0.03114066
C:\Projects\RoboticsNano\RoboND-Rover-Project\IMG\robocam_2017_05_29_16_18_36_483.jpg,0,0,0,-0.01203723,118.1252,132.0249,359.3328,164.258,0.03504704
